"Step","cnn_dr_0.9 - val acc","cnn_dr_0.9 - val acc__MIN","cnn_dr_0.9 - val acc__MAX","cnn_dr_0.8 - val acc","cnn_dr_0.8 - val acc__MIN","cnn_dr_0.8 - val acc__MAX","cnn_dr_0.7 - val acc","cnn_dr_0.7 - val acc__MIN","cnn_dr_0.7 - val acc__MAX","cnn_dr_0.6 - val acc","cnn_dr_0.6 - val acc__MIN","cnn_dr_0.6 - val acc__MAX","cnn_dr_0.5 - val acc","cnn_dr_0.5 - val acc__MIN","cnn_dr_0.5 - val acc__MAX","cnn_dr_0.4 - val acc","cnn_dr_0.4 - val acc__MIN","cnn_dr_0.4 - val acc__MAX","cnn_dr_0.3 - val acc","cnn_dr_0.3 - val acc__MIN","cnn_dr_0.3 - val acc__MAX","cnn_dr_0.2 - val acc","cnn_dr_0.2 - val acc__MIN","cnn_dr_0.2 - val acc__MAX","cnn_dr_0.1 - val acc","cnn_dr_0.1 - val acc__MIN","cnn_dr_0.1 - val acc__MAX"
"29","0.43669998824596407","0.43669998824596407","0.43669998824596407","0.6179999849200248","0.6179999849200248","0.6179999849200248","0.6825999838113784","0.6825999838113784","0.6825999838113784","0.7214999836683273","0.7214999836683273","0.7214999836683273","0.74079998254776","0.74079998254776","0.74079998254776","0.7535999792814255","0.7535999792814255","0.7535999792814255","0.7549999821186065","0.7549999821186065","0.7549999821186065","0.7525999826192856","0.7525999826192856","0.7525999826192856","0.7484999817609786","0.7484999817609786","0.7484999817609786"
"30","0.4478999879956245","0.4478999879956245","0.4478999879956245","0.6199999871850014","0.6199999871850014","0.6199999871850014","0.6846999895572662","0.6846999895572662","0.6846999895572662","0.7201999801397324","0.7201999801397324","0.7201999801397324","0.7454999804496765","0.7454999804496765","0.7454999804496765","0.7405999803543091","0.7405999803543091","0.7405999803543091","0.7538999795913697","0.7538999795913697","0.7538999795913697","0.747599983215332","0.747599983215332","0.747599983215332","0.7502999824285507","0.7502999824285507","0.7502999824285507"
"31","0.4480999878048897","0.4480999878048897","0.4480999878048897","0.6147999876737594","0.6147999876737594","0.6147999876737594","0.6824999839067459","0.6824999839067459","0.6824999839067459","0.7220999836921692","0.7220999836921692","0.7220999836921692","0.747499982714653","0.747499982714653","0.747499982714653","0.755099983215332","0.755099983215332","0.755099983215332","0.7543999814987182","0.7543999814987182","0.7543999814987182","0.7471999824047089","0.7471999824047089","0.7471999824047089","0.7519999849796295","0.7519999849796295","0.7519999849796295"
"32","0.4414999881386757","0.4414999881386757","0.4414999881386757","0.6196999844908714","0.6196999844908714","0.6196999844908714","0.6950999850034714","0.6950999850034714","0.6950999850034714","0.7251999819278717","0.7251999819278717","0.7251999819278717","0.7415999817848206","0.7415999817848206","0.7415999817848206","0.7508999836444855","0.7508999836444855","0.7508999836444855","0.7569999796152115","0.7569999796152115","0.7569999796152115","0.7481999832391739","0.7481999832391739","0.7481999832391739","0.7469999819993973","0.7469999819993973","0.7469999819993973"
"33","0.44649998694658277","0.44649998694658277","0.44649998694658277","0.623899984061718","0.623899984061718","0.623899984061718","0.6957999861240387","0.6957999861240387","0.6957999861240387","0.7242999827861786","0.7242999827861786","0.7242999827861786","0.7518999814987183","0.7518999814987183","0.7518999814987183","0.7508999788761139","0.7508999788761139","0.7508999788761139","0.7559999793767929","0.7559999793767929","0.7559999793767929","0.7498999810218812","0.7498999810218812","0.7498999810218812","0.7541999816894531","0.7541999816894531","0.7541999816894531"
"34","0.4534999892115593","0.4534999892115593","0.4534999892115593","0.6303999835252762","0.6303999835252762","0.6303999835252762","0.6898999840021134","0.6898999840021134","0.6898999840021134","0.7204999834299087","0.7204999834299087","0.7204999834299087","0.7439999800920486","0.7439999800920486","0.7439999800920486","0.753699979186058","0.753699979186058","0.753699979186058","0.7552999800443649","0.7552999800443649","0.7552999800443649","0.7472999823093415","0.7472999823093415","0.7472999823093415","0.744499980211258","0.744499980211258","0.744499980211258"
"35","0.4538999870419502","0.4538999870419502","0.4538999870419502","0.6282999897003174","0.6282999897003174","0.6282999897003174","0.6921999847888947","0.6921999847888947","0.6921999847888947","0.7230999827384949","0.7230999827384949","0.7230999827384949","0.7428999841213226","0.7428999841213226","0.7428999841213226","0.7513999795913696","0.7513999795913696","0.7513999795913696","0.75329998254776","0.75329998254776","0.75329998254776","0.744799981713295","0.744799981713295","0.744799981713295","0.747399982213974","0.747399982213974","0.747399982213974"
"36","0.45129998862743376","0.45129998862743376","0.45129998862743376","0.6222999873757362","0.6222999873757362","0.6222999873757362","0.6943999850749969","0.6943999850749969","0.6943999850749969","0.7222999840974808","0.7222999840974808","0.7222999840974808","0.7457999819517136","0.7457999819517136","0.7457999819517136","0.7493999814987182","0.7493999814987182","0.7493999814987182","0.7520999819040298","0.7520999819040298","0.7520999819040298","0.7416999810934066","0.7416999810934066","0.7416999810934066","0.7369999849796295","0.7369999849796295","0.7369999849796295"
"37","0.4510999876260757","0.4510999876260757","0.4510999876260757","0.6282999837398529","0.6282999837398529","0.6282999837398529","0.6946999859809876","0.6946999859809876","0.6946999859809876","0.7231999844312668","0.7231999844312668","0.7231999844312668","0.7437999802827835","0.7437999802827835","0.7437999802827835","0.7514999848604202","0.7514999848604202","0.7514999848604202","0.7548999828100205","0.7548999828100205","0.7548999828100205","0.7499999856948852","0.7499999856948852","0.7499999856948852","0.7439999842643737","0.7439999842643737","0.7439999842643737"
"38","0.45109998792409894","0.45109998792409894","0.45109998792409894","0.6315999862551689","0.6315999862551689","0.6315999862551689","0.7025999861955643","0.7025999861955643","0.7025999861955643","0.7277999836206436","0.7277999836206436","0.7277999836206436","0.7478999805450439","0.7478999805450439","0.7478999805450439","0.7476999855041504","0.7476999855041504","0.7476999855041504","0.7549999803304672","0.7549999803304672","0.7549999803304672","0.7451999825239182","0.7451999825239182","0.7451999825239182","0.7497999835014343","0.7497999835014343","0.7497999835014343"
"39","0.4498999878764153","0.4498999878764153","0.4498999878764153","0.6265999868512153","0.6265999868512153","0.6265999868512153","0.7033999818563461","0.7033999818563461","0.7033999818563461","0.7275999826192856","0.7275999826192856","0.7275999826192856","0.7498999804258346","0.7498999804258346","0.7498999804258346","0.7562999844551086","0.7562999844551086","0.7562999844551086","0.7536999815702439","0.7536999815702439","0.7536999815702439","0.7467999815940857","0.7467999815940857","0.7467999815940857","0.751999979019165","0.751999979019165","0.751999979019165"
