"Step","cnn_dr_0.9 - test acc","cnn_dr_0.9 - test acc__MIN","cnn_dr_0.9 - test acc__MAX","cnn_dr_0.8 - test acc","cnn_dr_0.8 - test acc__MIN","cnn_dr_0.8 - test acc__MAX","cnn_dr_0.7 - test acc","cnn_dr_0.7 - test acc__MIN","cnn_dr_0.7 - test acc__MAX","cnn_dr_0.6 - test acc","cnn_dr_0.6 - test acc__MIN","cnn_dr_0.6 - test acc__MAX","cnn_dr_0.5 - test acc","cnn_dr_0.5 - test acc__MIN","cnn_dr_0.5 - test acc__MAX","cnn_dr_0.4 - test acc","cnn_dr_0.4 - test acc__MIN","cnn_dr_0.4 - test acc__MAX","cnn_dr_0.3 - test acc","cnn_dr_0.3 - test acc__MIN","cnn_dr_0.3 - test acc__MAX","cnn_dr_0.2 - test acc","cnn_dr_0.2 - test acc__MIN","cnn_dr_0.2 - test acc__MAX","cnn_dr_0.1 - test acc","cnn_dr_0.1 - test acc__MIN","cnn_dr_0.1 - test acc__MAX"
"23","0.42609998881816863","0.42609998881816863","0.42609998881816863","0.5979999876022339","0.5979999876022339","0.5979999876022339","0.6652999848127366","0.6652999848127366","0.6652999848127366","0.7079999810457229","0.7079999810457229","0.7079999810457229","0.7307999813556671","0.7307999813556671","0.7307999813556671","0.7447999829053878","0.7447999829053878","0.7447999829053878","0.7511999851465225","0.7511999851465225","0.7511999851465225","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"24","0.42609998881816863","0.42609998881816863","0.42609998881816863","0.5979999876022339","0.5979999876022339","0.5979999876022339","0.6718999862670898","0.6718999862670898","0.6718999862670898","0.7043999832868576","0.7043999832868576","0.7043999832868576","0.7307999813556671","0.7307999813556671","0.7307999813556671","0.7447999829053878","0.7447999829053878","0.7447999829053878","0.7511999851465225","0.7511999851465225","0.7511999851465225","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"25","0.4297999891638756","0.4297999891638756","0.4297999891638756","0.6053999844193458","0.6053999844193458","0.6053999844193458","0.6719999825954437","0.6719999825954437","0.6719999825954437","0.7043999832868576","0.7043999832868576","0.7043999832868576","0.73279998421669","0.73279998421669","0.73279998421669","0.7447999829053878","0.7447999829053878","0.7447999829053878","0.7511999851465225","0.7511999851465225","0.7511999851465225","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"26","0.4297999891638756","0.4297999891638756","0.4297999891638756","0.6105999886989594","0.6105999886989594","0.6105999886989594","0.6715999835729599","0.6715999835729599","0.6715999835729599","0.7043999832868576","0.7043999832868576","0.7043999832868576","0.7368999832868576","0.7368999832868576","0.7368999832868576","0.7447999829053878","0.7447999829053878","0.7447999829053878","0.7511999851465225","0.7511999851465225","0.7511999851465225","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"27","0.43239999055862427","0.43239999055862427","0.43239999055862427","0.6105999886989594","0.6105999886989594","0.6105999886989594","0.6749999839067459","0.6749999839067459","0.6749999839067459","0.7120999830961228","0.7120999830961228","0.7120999830961228","0.7368999832868576","0.7368999832868576","0.7368999832868576","0.7447999829053878","0.7447999829053878","0.7447999829053878","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"28","0.4304999879002571","0.4304999879002571","0.4304999879002571","0.6105999886989594","0.6105999886989594","0.6105999886989594","0.6775999826192856","0.6775999826192856","0.6775999826192856","0.7120999830961228","0.7120999830961228","0.7120999830961228","0.7368999832868576","0.7368999832868576","0.7368999832868576","0.7447999829053878","0.7447999829053878","0.7447999829053878","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"29","0.4424999871850014","0.4424999871850014","0.4424999871850014","0.6142999836802483","0.6142999836802483","0.6142999836802483","0.6775999826192856","0.6775999826192856","0.6775999826192856","0.7117999863624572","0.7117999863624572","0.7117999863624572","0.7368999832868576","0.7368999832868576","0.7368999832868576","0.7447999829053878","0.7447999829053878","0.7447999829053878","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"30","0.4566999879479408","0.4566999879479408","0.4566999879479408","0.6125999879837036","0.6125999879837036","0.6125999879837036","0.6812999820709229","0.6812999820709229","0.6812999820709229","0.7117999863624572","0.7117999863624572","0.7117999863624572","0.7368999832868576","0.7368999832868576","0.7368999832868576","0.7447999829053878","0.7447999829053878","0.7447999829053878","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"31","0.44959998697042464","0.44959998697042464","0.44959998697042464","0.6125999879837036","0.6125999879837036","0.6125999879837036","0.6812999820709229","0.6812999820709229","0.6812999820709229","0.714899982213974","0.714899982213974","0.714899982213974","0.737999981045723","0.737999981045723","0.737999981045723","0.7433999806642533","0.7433999806642533","0.7433999806642533","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"32","0.44959998697042464","0.44959998697042464","0.44959998697042464","0.6125999879837036","0.6125999879837036","0.6125999879837036","0.6894999855756759","0.6894999855756759","0.6894999855756759","0.7216999816894532","0.7216999816894532","0.7216999816894532","0.737999981045723","0.737999981045723","0.737999981045723","0.7433999806642533","0.7433999806642533","0.7433999806642533","0.7494999814033508","0.7494999814033508","0.7494999814033508","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
