"Step","dr_0.9 - train acc","dr_0.9 - train acc__MIN","dr_0.9 - train acc__MAX","dr_0.8 - train acc","dr_0.8 - train acc__MIN","dr_0.8 - train acc__MAX","dr_0.7 - train acc","dr_0.7 - train acc__MIN","dr_0.7 - train acc__MAX","dr_0.6 - train acc","dr_0.6 - train acc__MIN","dr_0.6 - train acc__MAX","dr_0.5 - train acc","dr_0.5 - train acc__MIN","dr_0.5 - train acc__MAX","dr_0.4 - train acc","dr_0.4 - train acc__MIN","dr_0.4 - train acc__MAX","dr_0.3 - train acc","dr_0.3 - train acc__MIN","dr_0.3 - train acc__MAX","dr_0.2 - train acc","dr_0.2 - train acc__MIN","dr_0.2 - train acc__MAX","dr_0.1 - train acc","dr_0.1 - train acc__MIN","dr_0.1 - train acc__MAX"
"21","0.43274998843669893","0.43274998843669893","0.43274998843669893","0.5011499878764153","0.5011499878764153","0.5011499878764153","0.5500749875605107","0.5500749875605107","0.5500749875605107","0.5889999873936176","0.5889999873936176","0.5889999873936176","0.6353499849140644","0.6353499849140644","0.6353499849140644","0.6695999838411808","0.6695999838411808","0.6695999838411808","0.7163999830186367","0.7163999830186367","0.7163999830186367","0.7554499827325344","0.7554499827325344","0.7554499827325344","0.8044499790668488","0.8044499790668488","0.8044499790668488"
"22","0.43532498836517336","0.43532498836517336","0.43532498836517336","0.5065499883145094","0.5065499883145094","0.5065499883145094","0.5528249885141849","0.5528249885141849","0.5528249885141849","0.5986999866366386","0.5986999866366386","0.5986999866366386","0.6375749857723713","0.6375749857723713","0.6375749857723713","0.6810499842464924","0.6810499842464924","0.6810499842464924","0.7235249829292297","0.7235249829292297","0.7235249829292297","0.7644999799132347","0.7644999799132347","0.7644999799132347","0.8126749785244465","0.8126749785244465","0.8126749785244465"
"23","0.4377999880164862","0.4377999880164862","0.4377999880164862","0.5076499877125025","0.5076499877125025","0.5076499877125025","0.5563499880582095","0.5563499880582095","0.5563499880582095","0.6028249877691269","0.6028249877691269","0.6028249877691269","0.6434749859571457","0.6434749859571457","0.6434749859571457","0.6825999855995178","0.6825999855995178","0.6825999855995178","0.7289999824762344","0.7289999824762344","0.7289999824762344","0.7754999794065952","0.7754999794065952","0.7754999794065952","0.8213749794661999","0.8213749794661999","0.8213749794661999"
"24","0.4408749888837338","0.4408749888837338","0.4408749888837338","0.5125999876111745","0.5125999876111745","0.5125999876111745","0.5628999879211187","0.5628999879211187","0.5628999879211187","0.6058749881386757","0.6058749881386757","0.6058749881386757","0.646874985024333","0.646874985024333","0.646874985024333","0.6938499836623668","0.6938499836623668","0.6938499836623668","0.734499982893467","0.734499982893467","0.734499982893467","0.7810499808192253","0.7810499808192253","0.7810499808192253","0.8302749796211719","0.8302749796211719","0.8302749796211719"
"25","0.43809998854994775","0.43809998854994775","0.43809998854994775","0.514374986961484","0.514374986961484","0.514374986961484","0.5667249872535467","0.5667249872535467","0.5667249872535467","0.6111499839276076","0.6111499839276076","0.6111499839276076","0.6595499867200851","0.6595499867200851","0.6595499867200851","0.700874981880188","0.700874981880188","0.700874981880188","0.7440249818563461","0.7440249818563461","0.7440249818563461","0.7894249790906906","0.7894249790906906","0.7894249790906906","0.8386749784648418","0.8386749784648418","0.8386749784648418"
"26","0.4392249885946512","0.4392249885946512","0.4392249885946512","0.5175999876856804","0.5175999876856804","0.5175999876856804","0.5685249859839678","0.5685249859839678","0.5685249859839678","0.6136249863356352","0.6136249863356352","0.6136249863356352","0.6629999843239784","0.6629999843239784","0.6629999843239784","0.7070749823749065","0.7070749823749065","0.7070749823749065","0.7535749812424183","0.7535749812424183","0.7535749812424183","0.7982499791681766","0.7982499791681766","0.7982499791681766","0.8452499796450138","0.8452499796450138","0.8452499796450138"
"27","0.44372498743236066","0.44372498743236066","0.44372498743236066","0.5179999878257513","0.5179999878257513","0.5179999878257513","0.5714249870181084","0.5714249870181084","0.5714249870181084","0.6187249875068664","0.6187249875068664","0.6187249875068664","0.6691999851167202","0.6691999851167202","0.6691999851167202","0.710849983394146","0.710849983394146","0.710849983394146","0.7602749811112881","0.7602749811112881","0.7602749811112881","0.8048499791324139","0.8048499791324139","0.8048499791324139","0.8568249803781509","0.8568249803781509","0.8568249803781509"
"28","0.44572498835623264","0.44572498835623264","0.44572498835623264","0.5202999871224165","0.5202999871224165","0.5202999871224165","0.5776249868422747","0.5776249868422747","0.5776249868422747","0.6285249865800142","0.6285249865800142","0.6285249865800142","0.6716749835759401","0.6716749835759401","0.6716749835759401","0.7189249821007252","0.7189249821007252","0.7189249821007252","0.7673499818146229","0.7673499818146229","0.7673499818146229","0.8109249790012837","0.8109249790012837","0.8109249790012837","0.8607749792933465","0.8607749792933465","0.8607749792933465"
"29","0.4460499881953001","0.4460499881953001","0.4460499881953001","0.5249249862879515","0.5249249862879515","0.5249249862879515","0.5771999879926443","0.5771999879926443","0.5771999879926443","0.6289249860495328","0.6289249860495328","0.6289249860495328","0.6771249847114086","0.6771249847114086","0.6771249847114086","0.725824983716011","0.725824983716011","0.725824983716011","0.772499980777502","0.772499980777502","0.772499980777502","0.8207749781012535","0.8207749781012535","0.8207749781012535","0.8685249805450439","0.8685249805450439","0.8685249805450439"
"30","0.4462749879807234","0.4462749879807234","0.4462749879807234","0.5242999871075154","0.5242999871075154","0.5242999871075154","0.5822999880462885","0.5822999880462885","0.5822999880462885","0.632849987000227","0.632849987000227","0.632849987000227","0.6826749828457832","0.6826749828457832","0.6826749828457832","0.7314999815821648","0.7314999815821648","0.7314999815821648","0.7815999802947045","0.7815999802947045","0.7815999802947045","0.8275499771535396","0.8275499771535396","0.8275499771535396","0.8738499817252159","0.8738499817252159","0.8738499817252159"
"31","0.44852498784661293","0.44852498784661293","0.44852498784661293","0.526799987256527","0.526799987256527","0.526799987256527","0.5853999879956245","0.5853999879956245","0.5853999879956245","0.6384999859333038","0.6384999859333038","0.6384999859333038","0.6865999834239482","0.6865999834239482","0.6865999834239482","0.7375749833881855","0.7375749833881855","0.7375749833881855","0.7871249800920487","0.7871249800920487","0.7871249800920487","0.828899979442358","0.828899979442358","0.828899979442358","0.8775249810516834","0.8775249810516834","0.8775249810516834"
"32","0.4492249879986048","0.4492249879986048","0.4492249879986048","0.5321499869972467","0.5321499869972467","0.5321499869972467","0.5868749860674143","0.5868749860674143","0.5868749860674143","0.6436749847233295","0.6436749847233295","0.6436749847233295","0.6956499809026718","0.6956499809026718","0.6956499809026718","0.7430999813973904","0.7430999813973904","0.7430999813973904","0.7892999792098999","0.7892999792098999","0.7892999792098999","0.8399999779462815","0.8399999779462815","0.8399999779462815","0.8813999798893929","0.8813999798893929","0.8813999798893929"
"33","0.45192498855292795","0.45192498855292795","0.45192498855292795","0.5332999885827303","0.5332999885827303","0.5332999885827303","0.5920749878883362","0.5920749878883362","0.5920749878883362","0.644249985665083","0.644249985665083","0.644249985665083","0.6988249836862087","0.6988249836862087","0.6988249836862087","0.7465499828755856","0.7465499828755856","0.7465499828755856","0.7947499780356884","0.7947499780356884","0.7947499780356884","0.8435499788820744","0.8435499788820744","0.8435499788820744","0.8855499812960624","0.8855499812960624","0.8855499812960624"
"34","0.44932498812675475","0.44932498812675475","0.44932498812675475","0.5348999879509211","0.5348999879509211","0.5348999879509211","0.5942499870806932","0.5942499870806932","0.5942499870806932","0.6487249859422445","0.6487249859422445","0.6487249859422445","0.7057499849796295","0.7057499849796295","0.7057499849796295","0.7550499820709229","0.7550499820709229","0.7550499820709229","0.7976749800145626","0.7976749800145626","0.7976749800145626","0.8449249795079231","0.8449249795079231","0.8449249795079231","0.8926499795913696","0.8926499795913696","0.8926499795913696"
"35","0.4549499884992838","0.4549499884992838","0.4549499884992838","0.5362499860674143","0.5362499860674143","0.5362499860674143","0.596524985358119","0.596524985358119","0.596524985358119","0.6532749838382006","0.6532749838382006","0.6532749838382006","0.7098249845206738","0.7098249845206738","0.7098249845206738","0.7616999807953835","0.7616999807953835","0.7616999807953835","0.8085499796271324","0.8085499796271324","0.8085499796271324","0.852324979454279","0.852324979454279","0.852324979454279","0.896199981123209","0.896199981123209","0.896199981123209"
"36","0.4584749880433083","0.4584749880433083","0.4584749880433083","0.5407999870926141","0.5407999870926141","0.5407999870926141","0.6020749867707491","0.6020749867707491","0.6020749867707491","0.6582249858230352","0.6582249858230352","0.6582249858230352","0.7119749847054482","0.7119749847054482","0.7119749847054482","0.7647249822318554","0.7647249822318554","0.7647249822318554","0.8111749799549579","0.8111749799549579","0.8111749799549579","0.8572999800741673","0.8572999800741673","0.8572999800741673","0.8973999823629856","0.8973999823629856","0.8973999823629856"
