"Step","dr_0.9 - test loss","dr_0.9 - test loss__MIN","dr_0.9 - test loss__MAX","dr_0.8 - test loss","dr_0.8 - test loss__MIN","dr_0.8 - test loss__MAX","dr_0.7 - test loss","dr_0.7 - test loss__MIN","dr_0.7 - test loss__MAX","dr_0.6 - test loss","dr_0.6 - test loss__MIN","dr_0.6 - test loss__MAX","dr_0.5 - test loss","dr_0.5 - test loss__MIN","dr_0.5 - test loss__MAX","dr_0.4 - test loss","dr_0.4 - test loss__MIN","dr_0.4 - test loss__MAX","dr_0.3 - test loss","dr_0.3 - test loss__MIN","dr_0.3 - test loss__MAX","dr_0.2 - test loss","dr_0.2 - test loss__MIN","dr_0.2 - test loss__MAX","dr_0.1 - test loss","dr_0.1 - test loss__MIN","dr_0.1 - test loss__MAX"
"26","1.4466294181346893","1.4466294181346893","1.4466294181346893","1.3383897411823273","1.3383897411823273","1.3383897411823273","1.2937662196159363","1.2937662196159363","1.2937662196159363","1.2887992626428604","1.2887992626428604","1.2887992626428604","1.3011875772476196","1.3011875772476196","1.3011875772476196","1.3461678785085678","1.3461678785085678","1.3461678785085678","1.3992314088344573","1.3992314088344573","1.3992314088344573","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"27","1.4466294181346893","1.4466294181346893","1.4466294181346893","1.3383897411823273","1.3383897411823273","1.3383897411823273","1.2937662196159363","1.2937662196159363","1.2937662196159363","1.2887992626428604","1.2887992626428604","1.2887992626428604","1.3011875772476196","1.3011875772476196","1.3011875772476196","1.3461678785085678","1.3461678785085678","1.3461678785085678","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"28","1.4466294181346893","1.4466294181346893","1.4466294181346893","1.3383897411823273","1.3383897411823273","1.3383897411823273","1.2937662196159363","1.2937662196159363","1.2937662196159363","1.2887992626428604","1.2887992626428604","1.2887992626428604","1.3227746748924256","1.3227746748924256","1.3227746748924256","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"29","1.4339008963108062","1.4339008963108062","1.4339008963108062","1.3315012788772582","1.3315012788772582","1.3315012788772582","1.2937662196159363","1.2937662196159363","1.2937662196159363","1.2887992626428604","1.2887992626428604","1.2887992626428604","1.3227746748924256","1.3227746748924256","1.3227746748924256","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"30","1.4274671542644501","1.4274671542644501","1.4274671542644501","1.3315012788772582","1.3315012788772582","1.3315012788772582","1.30062109708786","1.30062109708786","1.30062109708786","1.2887992626428604","1.2887992626428604","1.2887992626428604","1.3227746748924256","1.3227746748924256","1.3227746748924256","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"31","1.4274671542644501","1.4274671542644501","1.4274671542644501","1.3315012788772582","1.3315012788772582","1.3315012788772582","1.30062109708786","1.30062109708786","1.30062109708786","1.2887992626428604","1.2887992626428604","1.2887992626428604","1.3227746748924256","1.3227746748924256","1.3227746748924256","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"32","1.423717269897461","1.423717269897461","1.423717269897461","1.3280749905109406","1.3280749905109406","1.3280749905109406","1.30062109708786","1.30062109708786","1.30062109708786","1.2887992626428604","1.2887992626428604","1.2887992626428604","1.3227746748924256","1.3227746748924256","1.3227746748924256","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"33","1.4217574036121368","1.4217574036121368","1.4217574036121368","1.325154300928116","1.325154300928116","1.325154300928116","1.30062109708786","1.30062109708786","1.30062109708786","1.2887992626428604","1.2887992626428604","1.2887992626428604","1.3227746748924256","1.3227746748924256","1.3227746748924256","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"34","1.420889664888382","1.420889664888382","1.420889664888382","1.325154300928116","1.325154300928116","1.325154300928116","1.30062109708786","1.30062109708786","1.30062109708786","1.3001691687107086","1.3001691687107086","1.3001691687107086","1.3227746748924256","1.3227746748924256","1.3227746748924256","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"35","1.420889664888382","1.420889664888382","1.420889664888382","1.325154300928116","1.325154300928116","1.325154300928116","1.30062109708786","1.30062109708786","1.30062109708786","1.3001691687107086","1.3001691687107086","1.3001691687107086","1.3227746748924256","1.3227746748924256","1.3227746748924256","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"36","1.420889664888382","1.420889664888382","1.420889664888382","1.325154300928116","1.325154300928116","1.325154300928116","1.2912203186750413","1.2912203186750413","1.2912203186750413","1.299388146996498","1.299388146996498","1.299388146996498","1.3227746748924256","1.3227746748924256","1.3227746748924256","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"37","1.4105615425109863","1.4105615425109863","1.4105615425109863","1.325154300928116","1.325154300928116","1.325154300928116","1.2912203186750413","1.2912203186750413","1.2912203186750413","1.299388146996498","1.299388146996498","1.299388146996498","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"38","1.408673688173294","1.408673688173294","1.408673688173294","1.325154300928116","1.325154300928116","1.325154300928116","1.2912203186750413","1.2912203186750413","1.2912203186750413","1.299388146996498","1.299388146996498","1.299388146996498","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"39","1.408673688173294","1.408673688173294","1.408673688173294","1.325154300928116","1.325154300928116","1.325154300928116","1.2912492048740387","1.2912492048740387","1.2912492048740387","1.299388146996498","1.299388146996498","1.299388146996498","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"40","1.408673688173294","1.408673688173294","1.408673688173294","1.3124488532543181","1.3124488532543181","1.3124488532543181","1.2912492048740387","1.2912492048740387","1.2912492048740387","1.299388146996498","1.299388146996498","1.299388146996498","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"41","1.408673688173294","1.408673688173294","1.408673688173294","1.3104189455509185","1.3104189455509185","1.3104189455509185","1.2842655444145203","1.2842655444145203","1.2842655444145203","1.299388146996498","1.299388146996498","1.299388146996498","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"42","1.408673688173294","1.408673688173294","1.408673688173294","1.3104189455509185","1.3104189455509185","1.3104189455509185","1.2842655444145203","1.2842655444145203","1.2842655444145203","1.299388146996498","1.299388146996498","1.299388146996498","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"43","1.408673688173294","1.408673688173294","1.408673688173294","1.3104189455509185","1.3104189455509185","1.3104189455509185","1.2842655444145203","1.2842655444145203","1.2842655444145203","1.299388146996498","1.299388146996498","1.299388146996498","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"44","1.408673688173294","1.408673688173294","1.408673688173294","1.3104189455509185","1.3104189455509185","1.3104189455509185","1.2909664738178253","1.2909664738178253","1.2909664738178253","1.3322581773996354","1.3322581773996354","1.3322581773996354","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"45","1.408673688173294","1.408673688173294","1.408673688173294","1.3040748524665833","1.3040748524665833","1.3040748524665833","1.2909664738178253","1.2909664738178253","1.2909664738178253","1.3318509978055955","1.3318509978055955","1.3318509978055955","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"46","1.408673688173294","1.408673688173294","1.408673688173294","1.3034569668769835","1.3034569668769835","1.3034569668769835","1.2909664738178253","1.2909664738178253","1.2909664738178253","1.3318509978055955","1.3318509978055955","1.3318509978055955","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"47","1.3919150912761689","1.3919150912761689","1.3919150912761689","1.3034569668769835","1.3034569668769835","1.3034569668769835","1.2909664738178253","1.2909664738178253","1.2909664738178253","1.3318509978055955","1.3318509978055955","1.3318509978055955","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"48","1.3919150912761689","1.3919150912761689","1.3919150912761689","1.3034569668769835","1.3034569668769835","1.3034569668769835","1.2909664738178253","1.2909664738178253","1.2909664738178253","1.3318509978055955","1.3318509978055955","1.3318509978055955","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"49","1.3919150912761689","1.3919150912761689","1.3919150912761689","1.29868833899498","1.29868833899498","1.29868833899498","1.2909664738178253","1.2909664738178253","1.2909664738178253","1.3318509978055955","1.3318509978055955","1.3318509978055955","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"50","1.3919150912761689","1.3919150912761689","1.3919150912761689","1.3007270896434784","1.3007270896434784","1.3007270896434784","1.2909664738178253","1.2909664738178253","1.2909664738178253","1.3318509978055955","1.3318509978055955","1.3318509978055955","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"51","1.3919150912761689","1.3919150912761689","1.3919150912761689","1.3007270896434784","1.3007270896434784","1.3007270896434784","1.2909664738178253","1.2909664738178253","1.2909664738178253","1.3318509978055955","1.3318509978055955","1.3318509978055955","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"52","1.3919150912761689","1.3919150912761689","1.3919150912761689","1.3007270896434784","1.3007270896434784","1.3007270896434784","1.3047604990005492","1.3047604990005492","1.3047604990005492","1.3318509978055955","1.3318509978055955","1.3318509978055955","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
"53","1.3887307965755462","1.3887307965755462","1.3887307965755462","1.3027037596702575","1.3027037596702575","1.3027037596702575","1.3022610318660737","1.3022610318660737","1.3022610318660737","1.3318509978055955","1.3318509978055955","1.3318509978055955","1.3474743795394897","1.3474743795394897","1.3474743795394897","1.3802513599395752","1.3802513599395752","1.3802513599395752","1.4105315625667572","1.4105315625667572","1.4105315625667572","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.7389033913612366","1.7389033913612366","1.7389033913612366"
