"Step","dr_0.9 - test acc","dr_0.9 - test acc__MIN","dr_0.9 - test acc__MAX","dr_0.8 - test acc","dr_0.8 - test acc__MIN","dr_0.8 - test acc__MAX","dr_0.7 - test acc","dr_0.7 - test acc__MIN","dr_0.7 - test acc__MAX","dr_0.6 - test acc","dr_0.6 - test acc__MIN","dr_0.6 - test acc__MAX","dr_0.5 - test acc","dr_0.5 - test acc__MIN","dr_0.5 - test acc__MAX","dr_0.4 - test acc","dr_0.4 - test acc__MIN","dr_0.4 - test acc__MAX","dr_0.3 - test acc","dr_0.3 - test acc__MIN","dr_0.3 - test acc__MAX","dr_0.2 - test acc","dr_0.2 - test acc__MIN","dr_0.2 - test acc__MAX","dr_0.1 - test acc","dr_0.1 - test acc__MIN","dr_0.1 - test acc__MAX"
"21","0.4980999878048897","0.4980999878048897","0.4980999878048897","0.5263999870419502","0.5263999870419502","0.5263999870419502","0.5437999883294106","0.5437999883294106","0.5437999883294106","0.5498999869823455","0.5498999869823455","0.5498999869823455","0.554599988758564","0.554599988758564","0.554599988758564","0.5483999866247177","0.5483999866247177","0.5483999866247177","0.5537999859452247","0.5537999859452247","0.5537999859452247","0.5416999858617783","0.5416999858617783","0.5416999858617783","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"22","0.4980999878048897","0.4980999878048897","0.4980999878048897","0.5263999870419502","0.5263999870419502","0.5263999870419502","0.5437999883294106","0.5437999883294106","0.5437999883294106","0.5514999887347222","0.5514999887347222","0.5514999887347222","0.554599988758564","0.554599988758564","0.554599988758564","0.556999988257885","0.556999988257885","0.556999988257885","0.5537999859452247","0.5537999859452247","0.5537999859452247","0.5416999858617783","0.5416999858617783","0.5416999858617783","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"23","0.502199986577034","0.502199986577034","0.502199986577034","0.5319999879598618","0.5319999879598618","0.5319999879598618","0.5562999850511551","0.5562999850511551","0.5562999850511551","0.5537999850511551","0.5537999850511551","0.5537999850511551","0.554599988758564","0.554599988758564","0.554599988758564","0.5530999892950058","0.5530999892950058","0.5530999892950058","0.5537999859452247","0.5537999859452247","0.5537999859452247","0.543999987244606","0.543999987244606","0.543999987244606","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"24","0.502199986577034","0.502199986577034","0.502199986577034","0.5335999873280525","0.5335999873280525","0.5335999873280525","0.5562999850511551","0.5562999850511551","0.5562999850511551","0.5537999850511551","0.5537999850511551","0.5537999850511551","0.554599988758564","0.554599988758564","0.554599988758564","0.5530999892950058","0.5530999892950058","0.5530999892950058","0.5578999838232994","0.5578999838232994","0.5578999838232994","0.543999987244606","0.543999987244606","0.543999987244606","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"25","0.5042999878525734","0.5042999878525734","0.5042999878525734","0.5371999847888946","0.5371999847888946","0.5371999847888946","0.5562999850511551","0.5562999850511551","0.5562999850511551","0.5537999850511551","0.5537999850511551","0.5537999850511551","0.554599988758564","0.554599988758564","0.554599988758564","0.5483999887108802","0.5483999887108802","0.5483999887108802","0.5578999838232994","0.5578999838232994","0.5578999838232994","0.543999987244606","0.543999987244606","0.543999987244606","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"26","0.5042999878525734","0.5042999878525734","0.5042999878525734","0.5343999874591827","0.5343999874591827","0.5343999874591827","0.5523999854922295","0.5523999854922295","0.5523999854922295","0.5537999850511551","0.5537999850511551","0.5537999850511551","0.5602999874949455","0.5602999874949455","0.5602999874949455","0.5540999847650528","0.5540999847650528","0.5540999847650528","0.5578999838232994","0.5578999838232994","0.5578999838232994","0.543999987244606","0.543999987244606","0.543999987244606","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"27","0.5042999878525734","0.5042999878525734","0.5042999878525734","0.5343999874591827","0.5343999874591827","0.5343999874591827","0.5523999854922295","0.5523999854922295","0.5523999854922295","0.5537999850511551","0.5537999850511551","0.5537999850511551","0.5602999874949455","0.5602999874949455","0.5602999874949455","0.5540999847650528","0.5540999847650528","0.5540999847650528","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"28","0.5042999878525734","0.5042999878525734","0.5042999878525734","0.5343999874591827","0.5343999874591827","0.5343999874591827","0.5523999854922295","0.5523999854922295","0.5523999854922295","0.5537999850511551","0.5537999850511551","0.5537999850511551","0.55559998691082","0.55559998691082","0.55559998691082","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"29","0.5095999863743782","0.5095999863743782","0.5095999863743782","0.5421999871730805","0.5421999871730805","0.5421999871730805","0.5523999854922295","0.5523999854922295","0.5523999854922295","0.5537999850511551","0.5537999850511551","0.5537999850511551","0.55559998691082","0.55559998691082","0.55559998691082","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"30","0.5075999864935875","0.5075999864935875","0.5075999864935875","0.5421999871730805","0.5421999871730805","0.5421999871730805","0.5501999908685684","0.5501999908685684","0.5501999908685684","0.5537999850511551","0.5537999850511551","0.5537999850511551","0.55559998691082","0.55559998691082","0.55559998691082","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"31","0.5075999864935875","0.5075999864935875","0.5075999864935875","0.5421999871730805","0.5421999871730805","0.5421999871730805","0.5501999908685684","0.5501999908685684","0.5501999908685684","0.5537999850511551","0.5537999850511551","0.5537999850511551","0.55559998691082","0.55559998691082","0.55559998691082","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"32","0.5136999881267548","0.5136999881267548","0.5136999881267548","0.5401999837160111","0.5401999837160111","0.5401999837160111","0.5501999908685684","0.5501999908685684","0.5501999908685684","0.5537999850511551","0.5537999850511551","0.5537999850511551","0.55559998691082","0.55559998691082","0.55559998691082","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"33","0.5142999857664108","0.5142999857664108","0.5142999857664108","0.5422999885678291","0.5422999885678291","0.5422999885678291","0.5501999908685684","0.5501999908685684","0.5501999908685684","0.5537999850511551","0.5537999850511551","0.5537999850511551","0.55559998691082","0.55559998691082","0.55559998691082","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"34","0.5127999883890152","0.5127999883890152","0.5127999883890152","0.5422999885678291","0.5422999885678291","0.5422999885678291","0.5501999908685684","0.5501999908685684","0.5501999908685684","0.5604999870061874","0.5604999870061874","0.5604999870061874","0.55559998691082","0.55559998691082","0.55559998691082","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"35","0.5127999883890152","0.5127999883890152","0.5127999883890152","0.5422999885678291","0.5422999885678291","0.5422999885678291","0.5501999908685684","0.5501999908685684","0.5501999908685684","0.5604999870061874","0.5604999870061874","0.5604999870061874","0.55559998691082","0.55559998691082","0.55559998691082","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"36","0.5127999883890152","0.5127999883890152","0.5127999883890152","0.5422999885678291","0.5422999885678291","0.5422999885678291","0.5550999873876572","0.5550999873876572","0.5550999873876572","0.5615999844670295","0.5615999844670295","0.5615999844670295","0.55559998691082","0.55559998691082","0.55559998691082","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"37","0.5163999852538109","0.5163999852538109","0.5163999852538109","0.5422999885678291","0.5422999885678291","0.5422999885678291","0.5550999873876572","0.5550999873876572","0.5550999873876572","0.5615999844670295","0.5615999844670295","0.5615999844670295","0.5631999883055687","0.5631999883055687","0.5631999883055687","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"38","0.5132999902963639","0.5132999902963639","0.5132999902963639","0.5422999885678291","0.5422999885678291","0.5422999885678291","0.5550999873876572","0.5550999873876572","0.5550999873876572","0.5615999844670295","0.5615999844670295","0.5615999844670295","0.5631999883055687","0.5631999883055687","0.5631999883055687","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"39","0.5132999902963639","0.5132999902963639","0.5132999902963639","0.5422999885678291","0.5422999885678291","0.5422999885678291","0.5601999890804291","0.5601999890804291","0.5601999890804291","0.5615999844670295","0.5615999844670295","0.5615999844670295","0.5631999883055687","0.5631999883055687","0.5631999883055687","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"40","0.5132999902963639","0.5132999902963639","0.5132999902963639","0.5493999853730201","0.5493999853730201","0.5493999853730201","0.5601999890804291","0.5601999890804291","0.5601999890804291","0.5615999844670295","0.5615999844670295","0.5615999844670295","0.5631999883055687","0.5631999883055687","0.5631999883055687","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"41","0.5132999902963639","0.5132999902963639","0.5132999902963639","0.5467999875545502","0.5467999875545502","0.5467999875545502","0.5568999862670898","0.5568999862670898","0.5568999862670898","0.5615999844670295","0.5615999844670295","0.5615999844670295","0.5631999883055687","0.5631999883055687","0.5631999883055687","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"42","0.5132999902963639","0.5132999902963639","0.5132999902963639","0.5467999875545502","0.5467999875545502","0.5467999875545502","0.5568999862670898","0.5568999862670898","0.5568999862670898","0.5615999844670295","0.5615999844670295","0.5615999844670295","0.5631999883055687","0.5631999883055687","0.5631999883055687","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"43","0.5132999902963639","0.5132999902963639","0.5132999902963639","0.5467999875545502","0.5467999875545502","0.5467999875545502","0.5568999862670898","0.5568999862670898","0.5568999862670898","0.5615999844670295","0.5615999844670295","0.5615999844670295","0.5631999883055687","0.5631999883055687","0.5631999883055687","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"44","0.5132999902963639","0.5132999902963639","0.5132999902963639","0.5467999875545502","0.5467999875545502","0.5467999875545502","0.5570999869704246","0.5570999869704246","0.5570999869704246","0.5640999865531922","0.5640999865531922","0.5640999865531922","0.5631999883055687","0.5631999883055687","0.5631999883055687","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"45","0.5132999902963639","0.5132999902963639","0.5132999902963639","0.5507999876141548","0.5507999876141548","0.5507999876141548","0.5570999869704246","0.5570999869704246","0.5570999869704246","0.5628999853134156","0.5628999853134156","0.5628999853134156","0.5631999883055687","0.5631999883055687","0.5631999883055687","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"46","0.5132999902963639","0.5132999902963639","0.5132999902963639","0.553399986922741","0.553399986922741","0.553399986922741","0.5570999869704246","0.5570999869704246","0.5570999869704246","0.5628999853134156","0.5628999853134156","0.5628999853134156","0.5631999883055687","0.5631999883055687","0.5631999883055687","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"47","0.5229999873042107","0.5229999873042107","0.5229999873042107","0.553399986922741","0.553399986922741","0.553399986922741","0.5570999869704246","0.5570999869704246","0.5570999869704246","0.5628999853134156","0.5628999853134156","0.5628999853134156","0.5631999883055687","0.5631999883055687","0.5631999883055687","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
"48","0.5229999873042107","0.5229999873042107","0.5229999873042107","0.553399986922741","0.553399986922741","0.553399986922741","0.5570999869704246","0.5570999869704246","0.5570999869704246","0.5628999853134156","0.5628999853134156","0.5628999853134156","0.5631999883055687","0.5631999883055687","0.5631999883055687","0.5538999897241592","0.5538999897241592","0.5538999897241592","0.5560999885201454","0.5560999885201454","0.5560999885201454","0.543999987244606","0.543999987244606","0.543999987244606","0.5401999884843827","0.5401999884843827","0.5401999884843827"
