"Step","cnn_dr_0.9 - train acc","cnn_dr_0.9 - train acc__MIN","cnn_dr_0.9 - train acc__MAX","cnn_dr_0.8 - train acc","cnn_dr_0.8 - train acc__MIN","cnn_dr_0.8 - train acc__MAX","cnn_dr_0.7 - train acc","cnn_dr_0.7 - train acc__MIN","cnn_dr_0.7 - train acc__MAX","cnn_dr_0.6 - train acc","cnn_dr_0.6 - train acc__MIN","cnn_dr_0.6 - train acc__MAX","cnn_dr_0.5 - train acc","cnn_dr_0.5 - train acc__MIN","cnn_dr_0.5 - train acc__MAX","cnn_dr_0.4 - train acc","cnn_dr_0.4 - train acc__MIN","cnn_dr_0.4 - train acc__MAX","cnn_dr_0.3 - train acc","cnn_dr_0.3 - train acc__MIN","cnn_dr_0.3 - train acc__MAX","cnn_dr_0.2 - train acc","cnn_dr_0.2 - train acc__MIN","cnn_dr_0.2 - train acc__MAX","cnn_dr_0.1 - train acc","cnn_dr_0.1 - train acc__MIN","cnn_dr_0.1 - train acc__MAX"
"21","0.3573749915137887","0.3573749915137887","0.3573749915137887","0.5000249879807234","0.5000249879807234","0.5000249879807234","0.5964749868959188","0.5964749868959188","0.5964749868959188","0.6646499848365783","0.6646499848365783","0.6646499848365783","0.7203249831497669","0.7203249831497669","0.7203249831497669","0.773574982136488","0.773574982136488","0.773574982136488","0.8229999782145023","0.8229999782145023","0.8229999782145023","0.8742749798297882","0.8742749798297882","0.8742749798297882","0.9308249814808369","0.9308249814808369","0.9308249814808369"
"22","0.35719999223947524","0.35719999223947524","0.35719999223947524","0.5040749867260456","0.5040749867260456","0.5040749867260456","0.5993249870836734","0.5993249870836734","0.5993249870836734","0.6676749840378762","0.6676749840378762","0.6676749840378762","0.7281749837100506","0.7281749837100506","0.7281749837100506","0.7771999801695347","0.7771999801695347","0.7771999801695347","0.8259249770641327","0.8259249770641327","0.8259249770641327","0.881399979442358","0.881399979442358","0.881399979442358","0.9339749825000763","0.9339749825000763","0.9339749825000763"
"23","0.3642499914392829","0.3642499914392829","0.3642499914392829","0.5066999878734351","0.5066999878734351","0.5066999878734351","0.5994499876350164","0.5994499876350164","0.5994499876350164","0.6712499834597111","0.6712499834597111","0.6712499834597111","0.7290249827504158","0.7290249827504158","0.7290249827504158","0.7839749805629254","0.7839749805629254","0.7839749805629254","0.8310999773442745","0.8310999773442745","0.8310999773442745","0.8882999813556671","0.8882999813556671","0.8882999813556671","0.9401249814033509","0.9401249814033509","0.9401249814033509"
"24","0.36867499075829985","0.36867499075829985","0.36867499075829985","0.50767498716712","0.50767498716712","0.50767498716712","0.602349985614419","0.602349985614419","0.602349985614419","0.6737999853491783","0.6737999853491783","0.6737999853491783","0.7337249812483787","0.7337249812483787","0.7337249812483787","0.7862249816954135","0.7862249816954135","0.7862249816954135","0.8374999789893627","0.8374999789893627","0.8374999789893627","0.8932749803364277","0.8932749803364277","0.8932749803364277","0.9424749802052975","0.9424749802052975","0.9424749802052975"
"25","0.3700249918177724","0.3700249918177724","0.3700249918177724","0.5109749869257212","0.5109749869257212","0.5109749869257212","0.6067999863624572","0.6067999863624572","0.6067999863624572","0.6778249838948249","0.6778249838948249","0.6778249838948249","0.7370749837160111","0.7370749837160111","0.7370749837160111","0.7906749799847603","0.7906749799847603","0.7906749799847603","0.8395999796688557","0.8395999796688557","0.8395999796688557","0.8947249804437161","0.8947249804437161","0.8947249804437161","0.9459749822318554","0.9459749822318554","0.9459749822318554"
"26","0.37022499114274976","0.37022499114274976","0.37022499114274976","0.5175249883532524","0.5175249883532524","0.5175249883532524","0.6155999867618084","0.6155999867618084","0.6155999867618084","0.6793749843537807","0.6793749843537807","0.6793749843537807","0.7393499831855297","0.7393499831855297","0.7393499831855297","0.7927749799191952","0.7927749799191952","0.7927749799191952","0.8394499792158604","0.8394499792158604","0.8394499792158604","0.8998499824106694","0.8998499824106694","0.8998499824106694","0.9479999807476998","0.9479999807476998","0.9479999807476998"
"27","0.37439999099820853","0.37439999099820853","0.37439999099820853","0.5154249876737594","0.5154249876737594","0.5154249876737594","0.6142249882221222","0.6142249882221222","0.6142249882221222","0.6803999836742878","0.6803999836742878","0.6803999836742878","0.7422749820351601","0.7422749820351601","0.7422749820351601","0.7979999792575836","0.7979999792575836","0.7979999792575836","0.8470249789953231","0.8470249789953231","0.8470249789953231","0.9023749807476997","0.9023749807476997","0.9023749807476997","0.9505499808490276","0.9505499808490276","0.9505499808490276"
"28","0.37359999112784864","0.37359999112784864","0.37359999112784864","0.5233499865978957","0.5233499865978957","0.5233499865978957","0.6168249869346618","0.6168249869346618","0.6168249869346618","0.6813499838113785","0.6813499838113785","0.6813499838113785","0.7464999823272228","0.7464999823272228","0.7464999823272228","0.7993999791145324","0.7993999791145324","0.7993999791145324","0.8510749794542789","0.8510749794542789","0.8510749794542789","0.9053499819338322","0.9053499819338322","0.9053499819338322","0.9530499796569347","0.9530499796569347","0.9530499796569347"
"29","0.37262499138712885","0.37262499138712885","0.37262499138712885","0.5206749872118235","0.5206749872118235","0.5206749872118235","0.616749986037612","0.616749986037612","0.616749986037612","0.6845749835669994","0.6845749835669994","0.6845749835669994","0.7457249821722507","0.7457249821722507","0.7457249821722507","0.8016499787569046","0.8016499787569046","0.8016499787569046","0.8542999802529812","0.8542999802529812","0.8542999802529812","0.9093249815702439","0.9093249815702439","0.9093249815702439","0.9557749776542187","0.9557749776542187","0.9557749776542187"
"30","0.37584999050945045","0.37584999050945045","0.37584999050945045","0.523649986833334","0.523649986833334","0.523649986833334","0.6231749864667654","0.6231749864667654","0.6231749864667654","0.6888749818503856","0.6888749818503856","0.6888749818503856","0.7489749819040299","0.7489749819040299","0.7489749819040299","0.8034749785065651","0.8034749785065651","0.8034749785065651","0.856049979776144","0.856049979776144","0.856049979776144","0.9116499811410904","0.9116499811410904","0.9116499811410904","0.956099977940321","0.956099977940321","0.956099977940321"
